Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Mustang GT;24;45'39.8067;None;None;None;100
2;None;12;Фабиан Култхард;None;Ford Mustang GT;24;45'41.6718;1.8651;1.8651;None;92
3;None;88;Джейми Уинкап;None;Holden Commodore ZB;24;45'45.5644;5.7577;3.8926;None;86
4;None;99;Антон де Паскуале;None;Holden Commodore ZB;24;45'48.4079;8.6012;2.8435;None;80
5;None;6;Кэмерон Уотерс;None;Ford Mustang GT;24;45'50.8389;11.0322;2.4310;None;74
6;None;20;Скотт Пай;None;Holden Commodore ZB;24;45'51.1779;11.3712;0.3390;None;68
7;None;7;Андре Хаймгартнер;None;Ford Mustang GT;24;45'57.4872;17.6805;6.3093;None;64
8;None;15;Рик Келли;None;Ford Mustang GT;24;45'58.0336;18.2269;0.5464;None;60
9;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;24;45'58.6215;18.8148;0.5879;None;56
10;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;24;45'59.0068;19.2001;0.3853;None;52
11;None;5;Ли Холдсуорт;None;Ford Mustang GT;24;46'05.5311;25.7244;6.5243;None;48
12;None;3;Маколи Джонс;None;Holden Commodore ZB;24;46'06.3647;26.5580;0.8336;None;46
13;None;35;Гарри Джекобсон;None;Holden Commodore ZB;24;46'06.7881;26.9814;0.4234;None;44
14;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;24;46'06.8339;27.0272;0.0458;None;42
15;None;22;Крис Питер;None;Holden Commodore ZB;24;46'09.6107;29.8040;2.7768;None;40
16;None;25;Час Мостер;None;Holden Commodore ZB;24;46'14.7303;34.9236;5.1196;None;38
17;None;8;Ник Перкат;None;Holden Commodore ZB;24;46'15.3238;35.5171;0.5935;None;36
18;None;19;Алекс Дэвисон;None;Holden Commodore ZB;24;46'17.4243;37.6176;2.1005;None;34
19;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;24;46'17.8699;38.0632;0.4456;None;32
20;None;34;Зейн Годдард;None;Holden Commodore ZB;24;46'31.2078;51.4011;13.3379;None;30
21;None;55;Джек ЛеБрок;None;Ford Mustang GT;24;46'34.5279;54.7212;3.3201;None;28
22;None;4;Джек Смит;None;Holden Commodore ZB;23;45'50.0207;1 Lap;1 Lap;None;26
None;None;44;Джеймс Кортни;None;Ford Mustang GT;1;2'22.0670;23 Laps;22 Laps;Сход;None
None;None;18;Марк Винтерботтом;None;Holden Commodore ZB;1;2'33.0493;23 Laps;10.9823;Сход;None
