Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Mustang GT;39;49'14.6570;None;None;None;100
2;None;6;Кэмерон Уотерс;None;Ford Mustang GT;39;49'18.8171;4.1601;4.1601;None;92
3;None;88;Джейми Уинкап;None;Holden Commodore ZB;39;49'20.5707;5.9137;1.7536;None;86
4;None;8;Ник Перкат;None;Holden Commodore ZB;39;49'27.1765;12.5195;6.6058;None;80
5;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;39;49'29.0189;14.3619;1.8424;None;74
6;None;20;Скотт Пай;None;Holden Commodore ZB;39;49'30.7638;16.1068;1.7449;None;68
7;None;99;Антон де Паскуале;None;Holden Commodore ZB;39;49'42.1934;27.5364;11.4296;None;64
8;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;39;49'43.4605;28.8035;1.2671;None;60
9;None;5;Ли Холдсуорт;None;Ford Mustang GT;39;49'44.7604;30.1034;1.2999;None;56
10;None;18;Марк Винтерботтом;None;Holden Commodore ZB;39;49'49.3614;34.7044;4.6010;None;52
11;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;39;49'50.7303;36.0733;1.3689;None;48
12;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;39;49'52.7397;38.0827;2.0094;None;46
13;None;44;Джеймс Кортни;None;Ford Mustang GT;39;49'52.9286;38.2716;0.1889;None;44
14;None;15;Рик Келли;None;Ford Mustang GT;39;49'57.1680;42.5110;4.2394;None;42
15;None;7;Андре Хаймгартнер;None;Ford Mustang GT;39;49'57.4967;42.8397;0.3287;None;40
16;None;55;Джек ЛеБрок;None;Ford Mustang GT;39;49'58.4499;43.7929;0.9532;None;38
17;None;12;Фабиан Култхард;None;Ford Mustang GT;39;50'03.0709;48.4139;4.6210;None;36
18;None;35;Гарри Джекобсон;None;Holden Commodore ZB;39;50'03.1023;48.4453;0.0314;None;34
19;None;34;Зейн Годдард;None;Holden Commodore ZB;39;50'05.2636;50.6066;2.1613;None;32
20;None;19;Алекс Дэвисон;None;Holden Commodore ZB;39;50'05.6320;50.9750;0.3684;None;30
21;None;3;Маколи Джонс;None;Holden Commodore ZB;39;50'06.7984;52.1414;1.1664;None;28
22;None;4;Джек Смит;None;Holden Commodore ZB;39;50'09.3225;54.6655;2.5241;None;26
23;None;22;Крис Питер;None;Holden Commodore ZB;39;50'13.5052;58.8482;4.1827;None;24
24;None;25;Час Мостер;None;Holden Commodore ZB;39;50'25.9769;1'11.3199;12.4717;None;22
