Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Брайс Фуллвуд;None;Mobil 1™ Middy's Racing;Holden Commodore ZB;Holden V8-5;Dunlop
3;Маколи Джонс;None;Team Cooldrive;Holden Commodore ZB;Holden V8-5;Dunlop
4;Джек Смит;None;SCT Logistics Racing;Holden Commodore ZB;Holden V8-5;Dunlop
5;Ли Холдсуорт;None;Truck Assist Tekno Racing;Ford Mustang GT;Ford V8-5;Dunlop
6;Кэмерон Уотерс;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
7;Андре Хаймгартнер;None;NED Racing;Ford Mustang GT;Ford V8-5;Dunlop
8;Ник Перкат;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Дэвид Рейнольдс;None;Penrite Racing;Holden Commodore ZB;Holden V8-5;Dunlop
12;Фабиан Култхард;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
14;Тодд Хазелвуд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
15;Рик Келли;None;Castrol Racing;Ford Mustang GT;Ford V8-5;Dunlop
17;Скотт Маклафлин;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
18;Марк Винтерботтом;None;Irwin Racing;Holden Commodore ZB;Holden V8-5;Dunlop
19;Алекс Дэвисон;None;Team Sydney;Holden Commodore ZB;Holden V8-5;Dunlop
20;Скотт Пай;None;Team 18;Holden Commodore ZB;Holden V8-5;Dunlop
22;Крис Питер;None;Team Sydney;Holden Commodore ZB;Holden V8-5;Dunlop
25;Час Мостер;None;Mobil 1™ Appliances Online Racing;Holden Commodore ZB;Holden V8-5;Dunlop
34;Джейк Костеки;None;Matt Stone Racing;Holden Commodore ZB;Holden V8-5;Dunlop
35;Гарри Джекобсон;None;Matt Stone Racing;Holden Commodore ZB;Holden V8-5;Dunlop
44;Джеймс Кортни;None;Boost Mobile Racing;Ford Mustang GT;Ford V8-5;Dunlop
55;Джек ЛеБрок;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
88;Джейми Уинкап;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
97;Шейн ван Гисберген;None;Triple Eight Race Engineering;Holden Commodore ZB;Holden V8-5;Dunlop
99;Антон де Паскуале;None;Penrite Racing;Holden Commodore ZB;Holden V8-5;Dunlop
