Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;2;1'13.7193;None;None;139.664
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;2;1'13.8633;0.1440;0.1440;139.392
3;99;Антон де Паскуале;None;Holden Commodore ZB;20;1'13.8851;0.1658;0.0218;139.351
4;6;Кэмерон Уотерс;None;Ford Mustang GT;22;1'13.8949;0.1756;0.0098;139.333
5;25;Час Мостер;None;Holden Commodore ZB;4;1'14.0390;0.3197;0.1441;139.061
6;88;Джейми Уинкап;None;Holden Commodore ZB;4;1'14.1507;0.4314;0.1117;138.852
7;44;Джеймс Кортни;None;Ford Mustang GT;28;1'14.2538;0.5345;0.1031;138.659
8;20;Скотт Пай;None;Holden Commodore ZB;4;1'14.3025;0.5832;0.0487;138.568
9;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'14.3271;0.6078;0.0246;138.522
10;12;Фабиан Култхард;None;Ford Mustang GT;18;1'14.3452;0.6259;0.0181;138.489
11;34;Джейк Костеки;None;Holden Commodore ZB;28;1'14.3879;0.6686;0.0427;138.409
12;35;Гарри Джекобсон;None;Holden Commodore ZB;28;1'14.3946;0.6753;0.0067;138.397
13;5;Ли Холдсуорт;None;Ford Mustang GT;28;1'14.4201;0.7008;0.0255;138.349
14;55;Джек ЛеБрок;None;Ford Mustang GT;19;1'14.4208;0.7015;0.0007;138.348
15;22;Крис Питер;None;Holden Commodore ZB;15;1'14.4300;0.7107;0.0092;138.331
16;8;Ник Перкат;None;Holden Commodore ZB;3;1'14.4315;0.7122;0.0015;138.328
17;15;Рик Келли;None;Ford Mustang GT;19;1'14.4567;0.7374;0.0252;138.281
18;2;Брайс Фуллвуд;None;Holden Commodore ZB;3;1'14.4709;0.7516;0.0142;138.255
19;18;Марк Винтерботтом;None;Holden Commodore ZB;3;1'14.6361;0.9168;0.1652;137.949
20;19;Алекс Дэвисон;None;Holden Commodore ZB;5;1'14.7056;0.9863;0.0695;137.820
21;7;Андре Хаймгартнер;None;Ford Mustang GT;5;1'14.8804;1.1611;0.1748;137.499
22;3;Маколи Джонс;None;Holden Commodore ZB;26;1'15.0071;1.2878;0.1267;137.267
23;14;Тодд Хазелвуд;None;Holden Commodore ZB;25;1'15.0175;1.2982;0.0104;137.247
24;4;Джек Смит;None;Holden Commodore ZB;2;1'15.1128;1.3935;0.0953;137.073
