Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;6;Кэмерон Уотерс;None;Ford Mustang GT;15;1'12.3392;None;None;142.329
2;17;Скотт Маклафлин;None;Ford Mustang GT;12;1'12.3421;0.0029;0.0029;142.323
3;25;Час Мостер;None;Holden Commodore ZB;12;1'12.4608;0.1216;0.1187;142.090
4;44;Джеймс Кортни;None;Ford Mustang GT;15;1'12.4772;0.1380;0.0164;142.058
5;88;Джейми Уинкап;None;Holden Commodore ZB;14;1'12.5044;0.1652;0.0272;142.005
6;5;Ли Холдсуорт;None;Ford Mustang GT;14;1'12.5074;0.1682;0.0030;141.999
7;8;Ник Перкат;None;Holden Commodore ZB;14;1'12.5951;0.2559;0.0877;141.827
8;2;Брайс Фуллвуд;None;Holden Commodore ZB;14;1'12.6097;0.2705;0.0146;141.799
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;15;1'12.6694;0.3302;0.0597;141.682
10;18;Марк Винтерботтом;None;Holden Commodore ZB;14;1'12.7180;0.3788;0.0486;141.588
11;55;Джек ЛеБрок;None;Ford Mustang GT;14;1'12.7386;0.3994;0.0206;141.547
12;19;Алекс Дэвисон;None;Holden Commodore ZB;15;1'12.7583;0.4191;0.0197;141.509
13;3;Маколи Джонс;None;Holden Commodore ZB;9;1'12.7916;0.4524;0.0333;141.444
14;14;Тодд Хазелвуд;None;Holden Commodore ZB;11;1'12.7947;0.4555;0.0031;141.438
15;99;Антон де Паскуале;None;Holden Commodore ZB;13;1'12.8409;0.5017;0.0462;141.349
16;12;Фабиан Култхард;None;Ford Mustang GT;13;1'12.8561;0.5169;0.0152;141.319
17;9;Дэвид Рейнольдс;None;Holden Commodore ZB;10;1'12.8724;0.5332;0.0163;141.288
18;35;Гарри Джекобсон;None;Holden Commodore ZB;11;1'13.0049;0.6657;0.1325;141.031
19;15;Рик Келли;None;Ford Mustang GT;13;1'13.0768;0.7376;0.0719;140.892
20;7;Андре Хаймгартнер;None;Ford Mustang GT;16;1'13.1102;0.7710;0.0334;140.828
21;20;Скотт Пай;None;Holden Commodore ZB;14;1'13.1176;0.7784;0.0074;140.814
22;22;Крис Питер;None;Holden Commodore ZB;14;1'13.3426;1.0034;0.2250;140.382
23;4;Джек Смит;None;Holden Commodore ZB;13;1'13.4355;1.0963;0.0929;140.204
24;34;Джейк Костеки;None;Holden Commodore ZB;16;1'13.4830;1.1438;0.0475;140.114
