Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'12.0143;142.971
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'12.2304;142.543
3;6;Кэмерон Уотерс;None;Ford Mustang GT;1'12.2681;142.469
4;99;Антон де Паскуале;None;Holden Commodore ZB;1'12.2981;142.410
5;25;Час Мостер;None;Holden Commodore ZB;1'12.3069;142.393
6;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'12.3413;142.325
7;88;Джейми Уинкап;None;Holden Commodore ZB;1'12.4160;142.178
8;8;Ник Перкат;None;Holden Commodore ZB;1'12.4732;142.066
9;55;Джек ЛеБрок;None;Ford Mustang GT;1'12.5526;141.910
10;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'12.5678;141.881
11;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'12.5838;141.849
12;12;Фабиан Култхард;None;Ford Mustang GT;1'12.6514;141.717
13;5;Ли Холдсуорт;None;Ford Mustang GT;1'12.6699;141.681
14;44;Джеймс Кортни;None;Ford Mustang GT;1'12.7021;141.619
15;7;Андре Хаймгартнер;None;Ford Mustang GT;1'12.7321;141.560
16;18;Марк Винтерботтом;None;Holden Commodore ZB;1'12.7616;141.503
17;20;Скотт Пай;None;Holden Commodore ZB;1'12.7673;141.492
18;19;Алекс Дэвисон;None;Holden Commodore ZB;1'12.7917;141.444
19;3;Маколи Джонс;None;Holden Commodore ZB;1'12.8888;141.256
20;35;Гарри Джекобсон;None;Holden Commodore ZB;1'12.9556;141.126
21;15;Рик Келли;None;Ford Mustang GT;1'13.0156;141.010
22;4;Джек Смит;None;Holden Commodore ZB;1'13.0781;140.890
23;34;Джейк Костеки;None;Holden Commodore ZB;1'13.1681;140.717
24;22;Крис Питер;None;Holden Commodore ZB;1'13.4513;140.174
