Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;14;Тодд Хазелвуд;None;Holden Commodore ZB;2;1'12.1541;None;None;142.694
2;8;Ник Перкат;None;Holden Commodore ZB;2;1'12.1761;0.0220;0.0220;142.651
3;25;Час Мостер;None;Holden Commodore ZB;3;1'12.2449;0.0908;0.0688;142.515
4;99;Антон де Паскуале;None;Holden Commodore ZB;5;1'12.3053;0.1512;0.0604;142.396
5;88;Джейми Уинкап;None;Holden Commodore ZB;2;1'12.3370;0.1829;0.0317;142.333
6;6;Кэмерон Уотерс;None;Ford Mustang GT;4;1'12.3385;0.1844;0.0015;142.330
7;5;Ли Холдсуорт;None;Ford Mustang GT;4;1'12.4077;0.2536;0.0692;142.194
8;55;Джек ЛеБрок;None;Ford Mustang GT;4;1'12.4377;0.2836;0.0300;142.135
9;44;Джеймс Кортни;None;Ford Mustang GT;5;1'12.4424;0.2883;0.0047;142.126
10;17;Скотт Маклафлин;None;Ford Mustang GT;2;1'12.4599;0.3058;0.0175;142.092
11;2;Брайс Фуллвуд;None;Holden Commodore ZB;2;1'12.4982;0.3441;0.0383;142.017
12;97;Шейн ван Гисберген;None;Holden Commodore ZB;3;1'12.5016;0.3475;0.0034;142.010
13;19;Алекс Дэвисон;None;Holden Commodore ZB;3;1'12.5214;0.3673;0.0198;141.971
14;12;Фабиан Култхард;None;Ford Mustang GT;5;1'12.5802;0.4261;0.0588;141.856
15;18;Марк Винтерботтом;None;Holden Commodore ZB;2;1'12.6605;0.5064;0.0803;141.700
16;3;Маколи Джонс;None;Holden Commodore ZB;2;1'12.6664;0.5123;0.0059;141.688
17;20;Скотт Пай;None;Holden Commodore ZB;2;1'12.7550;0.6009;0.0886;141.516
18;7;Андре Хаймгартнер;None;Ford Mustang GT;5;1'12.7630;0.6089;0.0080;141.500
19;9;Дэвид Рейнольдс;None;Holden Commodore ZB;2;1'12.7793;0.6252;0.0163;141.468
20;15;Рик Келли;None;Ford Mustang GT;5;1'12.8165;0.6624;0.0372;141.396
21;22;Крис Питер;None;Holden Commodore ZB;5;1'12.8375;0.6834;0.0210;141.355
22;34;Джейк Костеки;None;Holden Commodore ZB;5;1'12.9201;0.7660;0.0826;141.195
23;4;Джек Смит;None;Holden Commodore ZB;5;1'13.1645;1.0104;0.2444;140.723
24;35;Гарри Джекобсон;None;Holden Commodore ZB;4;1'13.1911;1.0370;0.0266;140.672
