Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;17;Скотт Маклафлин;None;Ford Mustang GT;39;49'20.9832;None;None;None;100
2;None;6;Кэмерон Уотерс;None;Ford Mustang GT;39;49'24.4729;3.4897;3.4897;None;92
3;None;25;Час Мостер;None;Holden Commodore ZB;39;49'31.7988;10.8156;7.3259;None;86
4;None;88;Джейми Уинкап;None;Holden Commodore ZB;39;49'36.9911;16.0079;5.1923;None;80
5;None;99;Антон де Паскуале;None;Holden Commodore ZB;39;49'38.9719;17.9887;1.9808;None;74
6;None;8;Ник Перкат;None;Holden Commodore ZB;39;49'48.3530;27.3698;9.3811;None;68
7;None;12;Фабиан Култхард;None;Ford Mustang GT;39;49'50.5684;29.5852;2.2154;None;64
8;None;55;Джек ЛеБрок;None;Ford Mustang GT;39;49'51.2496;30.2664;0.6812;None;60
9;None;20;Скотт Пай;None;Holden Commodore ZB;39;49'53.5219;32.5387;2.2723;None;56
10;None;44;Джеймс Кортни;None;Ford Mustang GT;39;49'55.9679;34.9847;2.4460;None;52
11;None;15;Рик Келли;None;Ford Mustang GT;39;50'00.5727;39.5895;4.6048;None;48
12;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;39;50'03.8935;42.9103;3.3208;None;46
13;None;19;Алекс Дэвисон;None;Holden Commodore ZB;39;50'04.8499;43.8667;0.9564;None;44
14;None;18;Марк Винтерботтом;None;Holden Commodore ZB;39;50'06.0677;45.0845;1.2178;None;42
15;None;35;Гарри Джекобсон;None;Holden Commodore ZB;39;50'06.4510;45.4678;0.3833;None;40
16;None;5;Ли Холдсуорт;None;Ford Mustang GT;39;50'06.7458;45.7626;0.2948;None;38
17;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;39;50'18.2597;57.2765;11.5139;None;36
18;None;7;Андре Хаймгартнер;None;Ford Mustang GT;39;50'20.1336;59.1504;1.8739;None;34
19;None;3;Маколи Джонс;None;Holden Commodore ZB;39;50'22.7087;1'01.7255;2.5751;None;32
20;None;34;Джейк Костеки;None;Holden Commodore ZB;39;50'23.4933;1'02.5101;0.7846;None;30
21;None;22;Крис Питер;None;Holden Commodore ZB;39;50'27.3173;1'06.3341;3.8240;None;28
22;None;4;Джек Смит;None;Holden Commodore ZB;31;50'16.9632;8 Laps;8 Laps;None;26
None;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;21;27'10.0921;18 Laps;10 Laps;None;None
None;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;16;22'01.6096;23 Laps;5 Laps;None;None
