Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;25;Час Мостер;None;Holden Commodore ZB;20;1'30.9790;None;None;154.519
2;8;Ник Перкат;None;Holden Commodore ZB;2;1'31.2166;0.2376;0.2376;154.116
3;12;Фабиан Култхард;None;Ford Mustang GT;2;1'31.3059;0.3269;0.0893;153.965
4;4;Джек Смит;None;Holden Commodore ZB;16;1'31.3169;0.3379;0.0110;153.947
5;15;Рик Келли;None;Ford Mustang GT;2;1'31.3206;0.3416;0.0037;153.941
6;97;Шейн ван Гисберген;None;Holden Commodore ZB;2;1'31.3834;0.4044;0.0628;153.835
7;44;Джеймс Кортни;None;Ford Mustang GT;13;1'31.5793;0.6003;0.1959;153.506
8;17;Скотт Маклафлин;None;Ford Mustang GT;15;1'31.7230;0.7440;0.1437;153.265
9;6;Кэмерон Уотерс;None;Ford Mustang GT;21;1'31.7242;0.7452;0.0012;153.263
10;35;Гарри Джекобсон;None;Holden Commodore ZB;16;1'31.9987;1.0197;0.2745;152.806
11;99;Антон де Паскуале;None;Holden Commodore ZB;13;1'32.5214;1.5424;0.5227;151.943
12;7;Андре Хаймгартнер;None;Ford Mustang GT;2;1'32.6343;1.6553;0.1129;151.758
13;22;Крис Питер;None;Holden Commodore ZB;16;1'32.7031;1.7241;0.0688;151.645
14;2;Брайс Фуллвуд;None;Holden Commodore ZB;13;1'33.1473;2.1683;0.4442;150.922
15;88;Джейми Уинкап;None;Holden Commodore ZB;15;1'33.3566;2.3776;0.2093;150.583
16;20;Скотт Пай;None;Holden Commodore ZB;15;1'33.3997;2.4207;0.0431;150.514
17;9;Дэвид Рейнольдс;None;Holden Commodore ZB;3;1'33.5470;2.5680;0.1473;150.277
18;5;Ли Холдсуорт;None;Ford Mustang GT;17;1'33.5975;2.6185;0.0505;150.196
19;18;Марк Винтерботтом;None;Holden Commodore ZB;3;1'33.6052;2.6262;0.0077;150.183
20;55;Джек ЛеБрок;None;Ford Mustang GT;19;1'33.6189;2.6399;0.0137;150.161
21;14;Тодд Хазелвуд;None;Holden Commodore ZB;13;1'33.9761;2.9971;0.3572;149.591
22;19;Алекс Дэвисон;None;Holden Commodore ZB;2;1'34.1823;3.2033;0.2062;149.263
23;3;Маколи Джонс;None;Holden Commodore ZB;2;1'34.2221;3.2431;0.0398;149.200
24;34;Зейн Годдард;None;Holden Commodore ZB;2;1'34.2325;3.2535;0.0104;149.184
