Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;15;1'28.9761;None;None;157.997
2;99;Антон де Паскуале;None;Holden Commodore ZB;11;1'29.1881;0.2120;0.2120;157.621
3;12;Фабиан Култхард;None;Ford Mustang GT;15;1'29.3726;0.3965;0.1845;157.296
4;2;Брайс Фуллвуд;None;Holden Commodore ZB;10;1'29.4514;0.4753;0.0788;157.157
5;6;Кэмерон Уотерс;None;Ford Mustang GT;12;1'29.5016;0.5255;0.0502;157.069
6;88;Джейми Уинкап;None;Holden Commodore ZB;19;1'29.5115;0.5354;0.0099;157.052
7;15;Рик Келли;None;Ford Mustang GT;9;1'29.5689;0.5928;0.0574;156.951
8;3;Маколи Джонс;None;Holden Commodore ZB;10;1'29.5818;0.6057;0.0129;156.929
9;25;Час Мостер;None;Holden Commodore ZB;7;1'29.6283;0.6522;0.0465;156.847
10;14;Тодд Хазелвуд;None;Holden Commodore ZB;10;1'29.6347;0.6586;0.0064;156.836
11;8;Ник Перкат;None;Holden Commodore ZB;10;1'29.7032;0.7271;0.0685;156.716
12;55;Джек ЛеБрок;None;Ford Mustang GT;12;1'29.9304;0.9543;0.2272;156.320
13;4;Джек Смит;None;Holden Commodore ZB;11;1'30.0083;1.0322;0.0779;156.185
14;5;Ли Холдсуорт;None;Ford Mustang GT;9;1'30.0892;1.1131;0.0809;156.045
15;9;Дэвид Рейнольдс;None;Holden Commodore ZB;13;1'30.1157;1.1396;0.0265;155.999
16;44;Джеймс Кортни;None;Ford Mustang GT;11;1'30.1791;1.2030;0.0634;155.889
17;20;Скотт Пай;None;Holden Commodore ZB;11;1'30.2155;1.2394;0.0364;155.826
18;35;Гарри Джекобсон;None;Holden Commodore ZB;8;1'30.3819;1.4058;0.1664;155.539
19;22;Крис Питер;None;Holden Commodore ZB;10;1'30.4037;1.4276;0.0218;155.502
20;19;Алекс Дэвисон;None;Holden Commodore ZB;12;1'30.4675;1.4914;0.0638;155.392
21;34;Зейн Годдард;None;Holden Commodore ZB;11;1'30.4702;1.4941;0.0027;155.388
22;18;Марк Винтерботтом;None;Holden Commodore ZB;12;1'31.8446;2.8685;1.3744;153.062
23;7;Андре Хаймгартнер;None;Ford Mustang GT;10;1'32.2128;3.2367;0.3682;152.451
24;97;Шейн ван Гисберген;None;Holden Commodore ZB;19;1'32.2890;3.3129;0.0762;152.325
