Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'27.7428;160.218
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'28.0184;159.716
3;6;Кэмерон Уотерс;None;Ford Mustang GT;1'28.0596;159.641
4;88;Джейми Уинкап;None;Holden Commodore ZB;1'28.1376;159.500
5;5;Ли Холдсуорт;None;Ford Mustang GT;1'28.1604;159.459
6;12;Фабиан Култхард;None;Ford Mustang GT;1'28.3859;159.052
7;18;Марк Винтерботтом;None;Holden Commodore ZB;1'28.5133;158.823
8;99;Антон де Паскуале;None;Holden Commodore ZB;1'28.7907;158.327
9;3;Маколи Джонс;None;Holden Commodore ZB;1'28.8023;158.306
10;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'28.8464;158.228
11;8;Ник Перкат;None;Holden Commodore ZB;1'29.0100;157.937
12;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'29.0381;157.887
13;25;Час Мостер;None;Holden Commodore ZB;1'29.4881;157.093
14;22;Крис Питер;None;Holden Commodore ZB;1'30.4538;155.416
15;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'30.8796;154.688
16;20;Скотт Пай;None;Holden Commodore ZB;1'29.8919;156.387
17;44;Джеймс Кортни;None;Ford Mustang GT;1'30.0200;156.165
18;55;Джек ЛеБрок;None;Ford Mustang GT;1'30.2055;155.844
19;35;Гарри Джекобсон;None;Holden Commodore ZB;1'30.7359;154.933
20;7;Андре Хаймгартнер;None;Ford Mustang GT;1'30.7399;154.926
21;15;Рик Келли;None;Ford Mustang GT;1'30.5528;155.246
22;19;Алекс Дэвисон;None;Holden Commodore ZB;1'30.7311;154.941
23;4;Джек Смит;None;Holden Commodore ZB;1'31.3393;153.909
24;34;Зейн Годдард;None;Holden Commodore ZB;1'31.5586;153.541
