Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;4;Джек Смит;None;Holden Commodore ZB;27;1'07.8846;None;None;152.199
2;17;Скотт Маклафлин;None;Ford Mustang GT;8;1'08.0803;0.1957;0.1957;151.761
3;88;Джейми Уинкап;None;Holden Commodore ZB;10;1'08.1060;0.2214;0.0257;151.704
4;97;Шейн ван Гисберген;None;Holden Commodore ZB;10;1'08.1159;0.2313;0.0099;151.682
5;6;Кэмерон Уотерс;None;Ford Mustang GT;7;1'08.1164;0.2318;0.0005;151.681
6;34;Джейк Костеки;None;Holden Commodore ZB;12;1'08.1301;0.2455;0.0137;151.651
7;7;Андре Хаймгартнер;None;Ford Mustang GT;9;1'08.1394;0.2548;0.0093;151.630
8;20;Скотт Пай;None;Holden Commodore ZB;23;1'08.1948;0.3102;0.0554;151.507
9;18;Марк Винтерботтом;None;Holden Commodore ZB;29;1'08.2251;0.3405;0.0303;151.439
10;5;Ли Холдсуорт;None;Ford Mustang GT;8;1'08.2334;0.3488;0.0083;151.421
11;25;Час Мостер;None;Holden Commodore ZB;9;1'08.2584;0.3738;0.0250;151.365
12;35;Гарри Джекобсон;None;Holden Commodore ZB;9;1'08.2660;0.3814;0.0076;151.349
13;2;Брайс Фуллвуд;None;Holden Commodore ZB;24;1'08.3218;0.4372;0.0558;151.225
14;8;Ник Перкат;None;Holden Commodore ZB;9;1'08.3250;0.4404;0.0032;151.218
15;12;Фабиан Култхард;None;Ford Mustang GT;11;1'08.3524;0.4678;0.0274;151.157
16;55;Джек ЛеБрок;None;Ford Mustang GT;8;1'08.3623;0.4777;0.0099;151.135
17;44;Джеймс Кортни;None;Ford Mustang GT;8;1'08.4006;0.5160;0.0383;151.051
18;9;Дэвид Рейнольдс;None;Holden Commodore ZB;8;1'08.4308;0.5462;0.0302;150.984
19;15;Рик Келли;None;Ford Mustang GT;8;1'08.4587;0.5741;0.0279;150.923
20;22;Крис Питер;None;Holden Commodore ZB;12;1'08.6026;0.7180;0.1439;150.606
21;14;Тодд Хазелвуд;None;Holden Commodore ZB;12;1'08.6154;0.7308;0.0128;150.578
22;3;Маколи Джонс;None;Holden Commodore ZB;7;1'08.7003;0.8157;0.0849;150.392
23;19;Алекс Дэвисон;None;Holden Commodore ZB;3;1'09.1842;1.2996;0.4839;149.340
24;99;Антон де Паскуале;None;Holden Commodore ZB;3;1'09.2876;1.4030;0.1034;149.117
