Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;25;Час Мостер;None;Holden Commodore ZB;15;1'06.7476;None;None;154.792
2;17;Скотт Маклафлин;None;Ford Mustang GT;17;1'07.0221;0.2745;0.2745;154.158
3;99;Антон де Паскуале;None;Holden Commodore ZB;11;1'07.0672;0.3196;0.0451;154.054
4;15;Рик Келли;None;Ford Mustang GT;12;1'07.1095;0.3619;0.0423;153.957
5;12;Фабиан Култхард;None;Ford Mustang GT;18;1'07.1136;0.3660;0.0041;153.947
6;9;Дэвид Рейнольдс;None;Holden Commodore ZB;15;1'07.1588;0.4112;0.0452;153.844
7;14;Тодд Хазелвуд;None;Holden Commodore ZB;13;1'07.1678;0.4202;0.0090;153.823
8;34;Джейк Костеки;None;Holden Commodore ZB;18;1'07.2611;0.5135;0.0933;153.610
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;11;1'07.2617;0.5141;0.0006;153.608
10;3;Маколи Джонс;None;Holden Commodore ZB;12;1'07.2637;0.5161;0.0020;153.604
11;6;Кэмерон Уотерс;None;Ford Mustang GT;15;1'07.2934;0.5458;0.0297;153.536
12;4;Джек Смит;None;Holden Commodore ZB;16;1'07.3152;0.5676;0.0218;153.486
13;19;Алекс Дэвисон;None;Holden Commodore ZB;18;1'07.3315;0.5839;0.0163;153.449
14;88;Джейми Уинкап;None;Holden Commodore ZB;14;1'07.3331;0.5855;0.0016;153.446
15;18;Марк Винтерботтом;None;Holden Commodore ZB;12;1'07.3646;0.6170;0.0315;153.374
16;44;Джеймс Кортни;None;Ford Mustang GT;18;1'07.3698;0.6222;0.0052;153.362
17;5;Ли Холдсуорт;None;Ford Mustang GT;16;1'07.4153;0.6677;0.0455;153.258
18;22;Крис Питер;None;Holden Commodore ZB;16;1'07.4230;0.6754;0.0077;153.241
19;7;Андре Хаймгартнер;None;Ford Mustang GT;11;1'07.4452;0.6976;0.0222;153.191
20;2;Брайс Фуллвуд;None;Holden Commodore ZB;12;1'07.5033;0.7557;0.0581;153.059
21;55;Джек ЛеБрок;None;Ford Mustang GT;18;1'07.6593;0.9117;0.1560;152.706
22;20;Скотт Пай;None;Holden Commodore ZB;13;1'07.8054;1.0578;0.1461;152.377
23;35;Гарри Джекобсон;None;Holden Commodore ZB;10;1'07.9171;1.1695;0.1117;152.126
24;8;Ник Перкат;None;Holden Commodore ZB;14;1'08.2123;1.4647;0.2952;151.468
