Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;1'06.4154;155.566
2;12;Фабиан Култхард;None;Ford Mustang GT;1'06.4411;155.506
3;99;Антон де Паскуале;None;Holden Commodore ZB;1'06.6764;154.957
4;88;Джейми Уинкап;None;Holden Commodore ZB;1'06.7154;154.866
5;8;Ник Перкат;None;Holden Commodore ZB;1'06.7283;154.836
6;7;Андре Хаймгартнер;None;Ford Mustang GT;1'06.7551;154.774
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'06.8396;154.579
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;1'06.8623;154.526
9;18;Марк Винтерботтом;None;Holden Commodore ZB;1'06.8957;154.449
10;25;Час Мостер;None;Holden Commodore ZB;1'06.8973;154.445
11;20;Скотт Пай;None;Holden Commodore ZB;1'06.8999;154.439
12;44;Джеймс Кортни;None;Ford Mustang GT;1'06.9040;154.430
13;6;Кэмерон Уотерс;None;Ford Mustang GT;1'06.9244;154.383
14;15;Рик Келли;None;Ford Mustang GT;1'06.9946;154.221
15;55;Джек ЛеБрок;None;Ford Mustang GT;1'07.0340;154.130
16;3;Маколи Джонс;None;Holden Commodore ZB;1'07.1056;153.966
17;5;Ли Холдсуорт;None;Ford Mustang GT;1'07.1414;153.884
18;19;Алекс Дэвисон;None;Holden Commodore ZB;1'07.2128;153.720
19;22;Крис Питер;None;Holden Commodore ZB;1'07.2656;153.600
20;34;Джейк Костеки;None;Holden Commodore ZB;1'07.3060;153.507
21;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'07.3245;153.465
22;35;Гарри Джекобсон;None;Holden Commodore ZB;1'07.3677;153.367
23;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'07.4731;153.127
24;4;Джек Смит;None;Holden Commodore ZB;1'07.7416;152.520
