Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;5;1'06.4154;None;None;155.566
2;12;Фабиан Култхард;None;Ford Mustang GT;5;1'06.4411;0.0257;0.0257;155.506
3;99;Антон де Паскуале;None;Holden Commodore ZB;3;1'06.6764;0.2610;0.2353;154.957
4;88;Джейми Уинкап;None;Holden Commodore ZB;5;1'06.7154;0.3000;0.0390;154.866
5;8;Ник Перкат;None;Holden Commodore ZB;4;1'06.7283;0.3129;0.0129;154.836
6;7;Андре Хаймгартнер;None;Ford Mustang GT;5;1'06.7551;0.3397;0.0268;154.774
7;97;Шейн ван Гисберген;None;Holden Commodore ZB;5;1'06.8396;0.4242;0.0845;154.579
8;9;Дэвид Рейнольдс;None;Holden Commodore ZB;5;1'06.8623;0.4469;0.0227;154.526
9;18;Марк Винтерботтом;None;Holden Commodore ZB;4;1'06.8957;0.4803;0.0334;154.449
10;25;Час Мостер;None;Holden Commodore ZB;6;1'06.8973;0.4819;0.0016;154.445
11;20;Скотт Пай;None;Holden Commodore ZB;4;1'06.8999;0.4845;0.0026;154.439
12;44;Джеймс Кортни;None;Ford Mustang GT;5;1'06.9040;0.4886;0.0041;154.430
13;6;Кэмерон Уотерс;None;Ford Mustang GT;5;1'06.9244;0.5090;0.0204;154.383
14;15;Рик Келли;None;Ford Mustang GT;5;1'06.9946;0.5792;0.0702;154.221
15;55;Джек ЛеБрок;None;Ford Mustang GT;5;1'07.0340;0.6186;0.0394;154.130
16;3;Маколи Джонс;None;Holden Commodore ZB;4;1'07.1056;0.6902;0.0716;153.966
17;5;Ли Холдсуорт;None;Ford Mustang GT;5;1'07.1414;0.7260;0.0358;153.884
18;19;Алекс Дэвисон;None;Holden Commodore ZB;5;1'07.2128;0.7974;0.0714;153.720
19;22;Крис Питер;None;Holden Commodore ZB;5;1'07.2656;0.8502;0.0528;153.600
20;34;Джейк Костеки;None;Holden Commodore ZB;5;1'07.3060;0.8906;0.0404;153.507
21;14;Тодд Хазелвуд;None;Holden Commodore ZB;5;1'07.3245;0.9091;0.0185;153.465
22;35;Гарри Джекобсон;None;Holden Commodore ZB;5;1'07.3677;0.9523;0.0432;153.367
23;2;Брайс Фуллвуд;None;Holden Commodore ZB;6;1'07.4731;1.0577;0.1054;153.127
24;4;Джек Смит;None;Holden Commodore ZB;5;1'07.7416;1.3262;0.2685;152.520
