Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;99;Антон де Паскуале;None;Holden Commodore ZB;34;46'05.7743;None;None;None;100
2;None;44;Джеймс Кортни;None;Ford Mustang GT;34;46'06.6093;0.8350;0.8350;None;92
3;None;20;Скотт Пай;None;Holden Commodore ZB;34;46'11.9023;6.1280;5.2930;None;86
4;None;18;Марк Винтерботтом;None;Holden Commodore ZB;34;46'16.9702;11.1959;5.0679;None;80
5;None;22;Крис Питер;None;Holden Commodore ZB;34;46'17.2219;11.4476;0.2517;None;74
6;None;12;Фабиан Култхард;None;Ford Mustang GT;34;46'17.5149;11.7406;0.2930;None;68
7;None;25;Час Мостер;None;Holden Commodore ZB;34;46'18.2316;12.4573;0.7167;None;64
8;None;6;Кэмерон Уотерс;None;Ford Mustang GT;34;46'18.8112;13.0369;0.5796;None;60
9;None;7;Андре Хаймгартнер;None;Ford Mustang GT;34;46'19.1125;13.3382;0.3013;None;56
10;None;5;Ли Холдсуорт;None;Ford Mustang GT;34;46'19.8476;14.0733;0.7351;None;52
11;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;34;46'20.7294;14.9551;0.8818;None;48
12;None;4;Джек Смит;None;Holden Commodore ZB;34;46'21.0077;15.2334;0.2783;None;46
13;None;9;Дэвид Рейнольдс;None;Holden Commodore ZB;34;46'22.3119;16.5376;1.3042;None;44
14;None;55;Джек ЛеБрок;None;Ford Mustang GT;34;46'22.8413;17.0670;0.5294;None;42
15;None;15;Рик Келли;None;Ford Mustang GT;34;46'23.7094;17.9351;0.8681;None;40
16;None;19;Алекс Дэвисон;None;Holden Commodore ZB;34;46'24.1347;18.3604;0.4253;None;38
17;None;88;Джейми Уинкап;None;Holden Commodore ZB;34;46'26.4738;20.6995;2.3391;None;36
18;None;14;Тодд Хазелвуд;None;Holden Commodore ZB;34;46'28.2409;22.4666;1.7671;None;34
19;None;35;Гарри Джекобсон;None;Holden Commodore ZB;34;46'28.5127;22.7384;0.2718;None;32
20;None;17;Скотт Маклафлин;None;Ford Mustang GT;34;46'32.8456;27.0713;4.3329;None;30
21;None;2;Брайс Фуллвуд;None;Holden Commodore ZB;34;46'38.5369;32.7626;5.6913;None;28
None;None;3;Маколи Джонс;None;Holden Commodore ZB;22;29'24.5078;12 Laps;12 Laps;Сход;None
None;None;34;Джейк Костеки;None;Holden Commodore ZB;3;3'43.0016;31 Laps;19 Laps;Сход;None
None;None;8;Ник Перкат;None;Holden Commodore ZB;0;None;None;None;Сход;None
