Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Скотт Маклафлин;None;Ford Mustang GT;6;1'06.8589;None;None;154.534
2;88;Джейми Уинкап;None;Holden Commodore ZB;8;1'06.9918;0.1329;0.1329;154.227
3;12;Фабиан Култхард;None;Ford Mustang GT;7;1'07.0315;0.1726;0.0397;154.136
4;18;Марк Винтерботтом;None;Holden Commodore ZB;5;1'07.1661;0.3072;0.1346;153.827
5;6;Кэмерон Уотерс;None;Ford Mustang GT;5;1'07.2441;0.3852;0.0780;153.649
6;99;Антон де Паскуале;None;Holden Commodore ZB;6;1'07.2963;0.4374;0.0522;153.529
7;9;Дэвид Рейнольдс;None;Holden Commodore ZB;8;1'07.3815;0.5226;0.0852;153.335
8;44;Джеймс Кортни;None;Ford Mustang GT;7;1'07.4598;0.6009;0.0783;153.157
9;97;Шейн ван Гисберген;None;Holden Commodore ZB;11;1'07.4635;0.6046;0.0037;153.149
10;20;Скотт Пай;None;Holden Commodore ZB;5;1'07.4809;0.6220;0.0174;153.109
11;14;Тодд Хазелвуд;None;Holden Commodore ZB;8;1'07.5558;0.6969;0.0749;152.940
12;8;Ник Перкат;None;Holden Commodore ZB;8;1'07.5896;0.7307;0.0338;152.863
13;7;Андре Хаймгартнер;None;Ford Mustang GT;12;1'07.6070;0.7481;0.0174;152.824
14;15;Рик Келли;None;Ford Mustang GT;10;1'07.7363;0.8774;0.1293;152.532
15;55;Джек ЛеБрок;None;Ford Mustang GT;10;1'07.7819;0.9230;0.0456;152.430
