Позиция;#;Гонщик;None;Машина;Время;км/ч
1;25;Час Мостер;None;Holden Commodore ZB;1'07.6303;165.014
2;6;Кэмерон Уотерс;None;Ford Mustang GT;1'07.6752;164.905
3;88;Джейми Уинкап;None;Holden Commodore ZB;1'07.7883;164.630
4;18;Марк Винтерботтом;None;Holden Commodore ZB;1'07.8552;164.467
5;5;Джек ЛеБрок;None;Ford Mustang GT;1'07.9646;164.203
6;11;Антон де Паскуале;None;Ford Mustang GT;1'08.0366;164.029
7;7;Андре Хаймгартнер;None;Ford Mustang GT;1'08.1988;163.639
8;17;Уилл Дэвисон;None;Ford Mustang GT;1'08.2035;163.627
9;99;Brodie Kostecki;None;Holden Commodore ZB;1'08.2437;163.531
10;9;Уилл Браун;None;Holden Commodore ZB;1'08.5145;162.885
11;44;Джеймс Кортни;None;Ford Mustang GT;1'08.2183;163.592
12;34;Джейк Костеки;None;Holden Commodore ZB;1'08.2205;163.587
13;96;Маколи Джонс;None;Holden Commodore ZB;1'08.2214;163.585
14;8;Ник Перкат;None;Holden Commodore ZB;1'08.2231;163.580
15;14;Тодд Хазелвуд;None;Holden Commodore ZB;1'08.2242;163.578
16;26;Дэвид Рейнольдс;None;Ford Mustang GT;1'08.2796;163.445
17;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'08.2844;163.434
18;20;Скотт Пай;None;Holden Commodore ZB;1'08.3087;163.375
19;3;Тим Слейд;None;Ford Mustang GT;1'08.3983;163.161
20;19;Фабиан Култхард;None;Holden Commodore ZB;1'08.8110;162.183
21;35;Зейн Годдард;None;Holden Commodore ZB;1'08.7650;162.291
22;22;Гарри Джекобсон;None;Holden Commodore ZB;1'08.7861;162.242
23;2;Брайс Фуллвуд;None;Holden Commodore ZB;1'08.9783;161.790
24;4;Джек Смит;None;Holden Commodore ZB;None;None
