Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;8;1'18.0065;None;None;143.065
2;88;Джейми Уинкап;None;Holden Commodore ZB;8;1'18.3631;0.3566;0.3566;142.413
3;17;Уилл Дэвисон;None;Ford Mustang GT;8;1'18.4101;0.4036;0.0470;142.328
4;26;Дэвид Рейнольдс;None;Ford Mustang GT;7;1'18.5488;0.5423;0.1387;142.077
5;7;Андре Хаймгартнер;None;Ford Mustang GT;7;1'18.7168;0.7103;0.1680;141.774
6;18;Марк Винтерботтом;None;Holden Commodore ZB;7;1'18.7527;0.7462;0.0359;141.709
7;99;Brodie Kostecki;None;Holden Commodore ZB;7;1'18.8355;0.8290;0.0828;141.560
8;11;Антон де Паскуале;None;Ford Mustang GT;8;1'18.8625;0.8560;0.0270;141.512
9;25;Час Мостер;None;Holden Commodore ZB;7;1'18.9124;0.9059;0.0499;141.422
10;6;Кэмерон Уотерс;None;Ford Mustang GT;8;1'18.9770;0.9705;0.0646;141.306
11;20;Скотт Пай;None;Holden Commodore ZB;7;1'19.1730;1.1665;0.1960;140.957
12;19;Фабиан Култхард;None;Holden Commodore ZB;7;1'19.2455;1.2390;0.0725;140.828
13;8;Ник Перкат;None;Holden Commodore ZB;7;1'19.2857;1.2792;0.0402;140.756
14;96;Маколи Джонс;None;Holden Commodore ZB;7;1'19.3807;1.3742;0.0950;140.588
15;44;Джеймс Кортни;None;Ford Mustang GT;7;1'19.3860;1.3795;0.0053;140.578
16;14;Тодд Хазелвуд;None;Holden Commodore ZB;7;1'19.4008;1.3943;0.0148;140.552
17;34;Джейк Костеки;None;Holden Commodore ZB;7;1'19.4550;1.4485;0.0542;140.456
18;3;Тим Слейд;None;Ford Mustang GT;7;1'19.5053;1.4988;0.0503;140.368
19;9;Уилл Браун;None;Holden Commodore ZB;7;1'19.5532;1.5467;0.0479;140.283
20;2;Брайс Фуллвуд;None;Holden Commodore ZB;7;1'19.6709;1.6644;0.1177;140.076
21;22;Гарри Джекобсон;None;Holden Commodore ZB;7;1'19.9024;1.8959;0.2315;139.670
22;5;Джек ЛеБрок;None;Ford Mustang GT;7;1'20.0521;2.0456;0.1497;139.409
23;4;Джек Смит;None;Holden Commodore ZB;6;1'20.2752;2.2687;0.2231;139.021
24;35;Зейн Годдард;None;Holden Commodore ZB;7;1'20.5826;2.5761;0.3074;138.491
