Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Ник Перкат;None;Mobil 1™ Optus Racing & Mobil 1™ NTI Racing;Holden Commodore ZB;Holden V8-5;Dunlop
3;Тим Слейд;None;Brad Jones Racing;Ford Mustang GT;Ford V8-5;Dunlop
4;Джек Смит;None;SCT Logistics & TRG Transport Solutions;Holden Commodore ZB;Holden V8-5;Dunlop
5;Джеймс Кортни;None;Monster Energy Racing & Snowy River Caravans;Ford Mustang GT;Ford V8-5;Dunlop
6;Кэмерон Уотерс;None;Monster Energy Racing & Snowy River Caravans;Ford Mustang GT;Ford V8-5;Dunlop
8;Андре Хаймгартнер;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Уилл Браун;None;Boost Mobile Racing by Erebus;Holden Commodore ZB;Holden V8-5;Dunlop
10;Ли Холдсуорт;None;Penrite Racing;Ford Mustang GT;Ford V8-5;Dunlop
11;Антон де Паскуале;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
14;Брайс Фуллвуд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
17;Уилл Дэвисон;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
18;Марк Винтерботтом;None;IRWIN Racing & Toyota Forklifts Racing;Holden Commodore ZB;Holden V8-5;Dunlop
20;Скотт Пай;None;IRWIN Racing & Toyota Forklifts Racing;Holden Commodore ZB;Holden V8-5;Dunlop
22;Крис Питер;None;Coca-Cola Racing & Subway PremiAir Racing;Holden Commodore ZB;Holden V8-5;Dunlop
25;Час Мостер;None;Mobil 1™ Optus Racing & Mobil 1™ NTI Racing;Holden Commodore ZB;Holden V8-5;Dunlop
26;Дэвид Рейнольдс;None;Penrite Racing;Ford Mustang GT;Ford V8-5;Dunlop
34;Джек ЛеБрок;None;Truck Assist Racing;Holden Commodore ZB;Holden V8-5;Dunlop
35;Тодд Хазелвуд;None;Truck Assist Racing;Holden Commodore ZB;Holden V8-5;Dunlop
55;Томас Рэндл;None;Castrol Racing & Tradie Racing;Ford Mustang GT;Ford V8-5;Dunlop
56;Джейк Костеки;None;Castrol Racing & Tradie Racing;Ford Mustang GT;Ford V8-5;Dunlop
76;Гарри Джекобсон;None;Coca-Cola Racing & Subway PremiAir Racing;Holden Commodore ZB;Holden V8-5;Dunlop
88;Broc Feeney;None;Red Bull Ampol Racing;Holden Commodore ZB;Holden V8-5;Dunlop
96;Маколи Джонс;None;SCT Logistics & TRG Transport Solutions;Holden Commodore ZB;Holden V8-5;Dunlop
97;Шейн ван Гисберген;None;Red Bull Ampol Racing;Holden Commodore ZB;Holden V8-5;Dunlop
99;Brodie Kostecki;None;Boost Mobile Racing by Erebus;Holden Commodore ZB;Holden V8-5;Dunlop
