Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;35;Тодд Хазелвуд;None;Holden Commodore ZB;17;1'46.3008;None;None;179.592
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;20;1'46.6198;0.3190;0.3190;179.054
3;8;Андре Хаймгартнер;None;Holden Commodore ZB;15;1'46.7449;0.4441;0.1251;178.845
4;96;Маколи Джонс;None;Holden Commodore ZB;16;1'47.3649;1.0641;0.6200;177.812
5;99;Brodie Kostecki;None;Holden Commodore ZB;5;1'47.7324;1.4316;0.3675;177.205
6;25;Час Мостер;None;Holden Commodore ZB;9;1'47.7846;1.4838;0.0522;177.119
7;11;Антон де Паскуале;None;Ford Mustang GT;3;1'47.8298;1.5290;0.0452;177.045
8;3;Тим Слейд;None;Ford Mustang GT;9;1'47.8546;1.5538;0.0248;177.004
9;17;Уилл Дэвисон;None;Ford Mustang GT;20;1'47.9102;1.6094;0.0556;176.913
10;5;Джеймс Кортни;None;Ford Mustang GT;19;1'48.0558;1.7550;0.1456;176.675
11;88;Broc Feeney;None;Holden Commodore ZB;17;1'48.1364;1.8356;0.0806;176.543
12;76;Гарри Джекобсон;None;Holden Commodore ZB;5;1'48.1386;1.8378;0.0022;176.540
13;9;Уилл Браун;None;Holden Commodore ZB;11;1'48.1547;1.8539;0.0161;176.513
14;20;Скотт Пай;None;Holden Commodore ZB;3;1'48.1850;1.8842;0.0303;176.464
15;18;Марк Винтерботтом;None;Holden Commodore ZB;5;1'48.2630;1.9622;0.0780;176.337
16;34;Джек ЛеБрок;None;Holden Commodore ZB;14;1'48.2930;1.9922;0.0300;176.288
17;2;Ник Перкат;None;Holden Commodore ZB;9;1'48.3226;2.0218;0.0296;176.240
18;10;Ли Холдсуорт;None;Ford Mustang GT;3;1'48.3799;2.0791;0.0573;176.147
19;6;Кэмерон Уотерс;None;Ford Mustang GT;8;1'48.3889;2.0881;0.0090;176.132
20;56;Джейк Костеки;None;Ford Mustang GT;12;1'48.4272;2.1264;0.0383;176.070
21;22;Крис Питер;None;Holden Commodore ZB;20;1'48.4677;2.1669;0.0405;176.004
22;26;Дэвид Рейнольдс;None;Ford Mustang GT;3;1'48.5614;2.2606;0.0937;175.852
23;14;Брайс Фуллвуд;None;Holden Commodore ZB;12;1'48.7175;2.4167;0.1561;175.600
24;55;Томас Рэндл;None;Ford Mustang GT;9;1'48.8387;2.5379;0.1212;175.404
