Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;11;Антон де Паскуале;None;Ford Mustang GT;8;1'46.6016;None;None;179.085
2;97;Шейн ван Гисберген;None;Holden Commodore ZB;7;1'46.6431;0.0415;0.0415;179.015
3;17;Уилл Дэвисон;None;Ford Mustang GT;8;1'47.0494;0.4478;0.4063;178.336
4;26;Дэвид Рейнольдс;None;Ford Mustang GT;8;1'47.3218;0.7202;0.2724;177.883
5;96;Маколи Джонс;None;Holden Commodore ZB;8;1'47.5457;0.9441;0.2239;177.513
6;8;Андре Хаймгартнер;None;Holden Commodore ZB;8;1'47.5755;0.9739;0.0298;177.464
7;10;Ли Холдсуорт;None;Ford Mustang GT;8;1'47.8364;1.2348;0.2609;177.034
8;3;Тим Слейд;None;Ford Mustang GT;8;1'47.8828;1.2812;0.0464;176.958
9;76;Гарри Джекобсон;None;Holden Commodore ZB;8;1'48.1259;1.5243;0.2431;176.560
10;14;Брайс Фуллвуд;None;Holden Commodore ZB;8;1'48.1687;1.5671;0.0428;176.490
11;18;Марк Винтерботтом;None;Holden Commodore ZB;8;1'48.1730;1.5714;0.0043;176.483
12;6;Кэмерон Уотерс;None;Ford Mustang GT;8;1'48.3411;1.7395;0.1681;176.210
13;25;Час Мостер;None;Holden Commodore ZB;8;1'48.3465;1.7449;0.0054;176.201
14;22;Крис Питер;None;Holden Commodore ZB;7;1'48.3836;1.7820;0.0371;176.141
15;20;Скотт Пай;None;Holden Commodore ZB;8;1'48.6070;2.0054;0.2234;175.778
16;99;Brodie Kostecki;None;Holden Commodore ZB;8;1'48.6594;2.0578;0.0524;175.693
17;4;Джек Смит;None;Holden Commodore ZB;8;1'48.6986;2.0970;0.0392;175.630
18;5;Джеймс Кортни;None;Ford Mustang GT;7;1'48.7393;2.1377;0.0407;175.564
19;2;Ник Перкат;None;Holden Commodore ZB;8;1'48.8972;2.2956;0.1579;175.310
20;88;Broc Feeney;None;Holden Commodore ZB;3;1'49.0467;2.4451;0.1495;175.069
21;34;Джек ЛеБрок;None;Holden Commodore ZB;8;1'49.0795;2.4779;0.0328;175.017
22;9;Уилл Браун;None;Holden Commodore ZB;8;1'49.1847;2.5831;0.1052;174.848
23;35;Тодд Хазелвуд;None;Holden Commodore ZB;8;1'49.4124;2.8108;0.2277;174.484
24;56;Джейк Костеки;None;Ford Mustang GT;8;1'50.2797;3.6781;0.8673;173.112
25;55;Томас Рэндл;None;Ford Mustang GT;6;1'50.9739;4.3723;0.6942;172.029
