Позиция;#;Гонщик;None;Машина;Время;км/ч
1;17;Уилл Дэвисон;None;Ford Mustang GT;1'44.9418;181.917
2;26;Дэвид Рейнольдс;None;Ford Mustang GT;1'45.0232;181.776
3;97;Шейн ван Гисберген;None;Holden Commodore ZB;1'45.1751;181.514
4;88;Broc Feeney;None;Holden Commodore ZB;1'45.2607;181.366
5;11;Антон де Паскуале;None;Ford Mustang GT;1'45.2793;181.334
6;99;Brodie Kostecki;None;Holden Commodore ZB;1'45.3395;181.231
7;5;Джеймс Кортни;None;Ford Mustang GT;1'45.3425;181.226
8;25;Час Мостер;None;Holden Commodore ZB;1'45.3603;181.195
9;2;Ник Перкат;None;Holden Commodore ZB;1'45.6289;180.734
10;35;Тодд Хазелвуд;None;Holden Commodore ZB;1'45.6667;180.669
11;6;Кэмерон Уотерс;None;Ford Mustang GT;1'45.6690;180.666
12;20;Скотт Пай;None;Holden Commodore ZB;1'45.7324;180.557
13;18;Марк Винтерботтом;None;Holden Commodore ZB;1'45.7562;180.517
14;34;Джек ЛеБрок;None;Holden Commodore ZB;1'45.7613;180.508
15;10;Ли Холдсуорт;None;Ford Mustang GT;1'45.8305;180.390
16;4;Джек Смит;None;Holden Commodore ZB;1'45.8696;180.323
17;14;Брайс Фуллвуд;None;Holden Commodore ZB;1'45.8989;180.273
18;8;Андре Хаймгартнер;None;Holden Commodore ZB;1'45.9188;180.239
19;96;Маколи Джонс;None;Holden Commodore ZB;1'46.0344;180.043
20;3;Тим Слейд;None;Ford Mustang GT;1'46.0531;180.011
21;76;Гарри Джекобсон;None;Holden Commodore ZB;1'46.1767;179.802
22;9;Уилл Браун;None;Holden Commodore ZB;1'46.1958;179.769
23;55;Томас Рэндл;None;Ford Mustang GT;1'46.4788;179.292
24;22;Крис Питер;None;Holden Commodore ZB;1'46.6310;179.036
