Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Уилл Дэвисон;None;Ford Mustang GT;0;1'45.3792;None;None;181.162
2;11;Антон де Паскуале;None;Ford Mustang GT;0;1'45.3863;None;None;181.150
3;25;Час Мостер;None;Holden Commodore ZB;0;1'45.3944;None;None;181.136
4;55;Томас Рэндл;None;Ford Mustang GT;0;1'45.5372;None;None;180.891
5;6;Кэмерон Уотерс;None;Ford Mustang GT;0;1'45.5475;None;None;180.874
6;97;Шейн ван Гисберген;None;Holden Commodore ZB;0;1'45.6145;None;None;180.759
7;2;Ник Перкат;None;Holden Commodore ZB;0;1'45.6253;None;None;180.740
8;3;Тим Слейд;None;Ford Mustang GT;0;1'45.6357;None;None;180.722
9;99;Brodie Kostecki;None;Holden Commodore ZB;0;1'45.6450;None;None;180.707
10;5;Джеймс Кортни;None;Ford Mustang GT;0;1'45.6849;None;None;180.638
11;88;Broc Feeney;None;Holden Commodore ZB;0;1'45.8482;None;None;180.360
12;26;Дэвид Рейнольдс;None;Ford Mustang GT;0;1'45.9415;None;None;180.201
13;20;Скотт Пай;None;Holden Commodore ZB;0;1'45.9790;None;None;180.137
14;10;Ли Холдсуорт;None;Ford Mustang GT;0;1'46.0352;None;None;180.042
15;9;Уилл Браун;None;Holden Commodore ZB;0;1'46.1204;None;None;179.897
16;8;Андре Хаймгартнер;None;Holden Commodore ZB;0;1'46.1997;None;None;179.763
17;18;Марк Винтерботтом;None;Holden Commodore ZB;0;1'46.3126;None;None;179.572
18;96;Маколи Джонс;None;Holden Commodore ZB;0;1'46.3302;None;None;179.542
19;56;Джейк Костеки;None;Ford Mustang GT;0;1'46.3888;None;None;179.443
20;76;Гарри Джекобсон;None;Holden Commodore ZB;0;1'46.4636;None;None;179.317
21;14;Брайс Фуллвуд;None;Holden Commodore ZB;0;1'46.6335;None;None;179.031
22;22;Крис Питер;None;Holden Commodore ZB;0;1'46.6583;None;None;178.990
23;34;Джек ЛеБрок;None;Holden Commodore ZB;0;1'46.7830;None;None;178.781
24;4;Джек Смит;None;Holden Commodore ZB;0;1'47.0237;None;None;178.379
