Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;26;Дэвид Рейнольдс;None;Ford Mustang GT;2;1'45.6781;None;None;180.650
2;11;Антон де Паскуале;None;Ford Mustang GT;2;1'45.7037;0.0256;0.0256;180.606
3;25;Час Мостер;None;Holden Commodore ZB;2;1'45.8938;0.2157;0.1901;180.282
4;17;Уилл Дэвисон;None;Ford Mustang GT;2;1'46.1310;0.4529;0.2372;179.879
5;10;Ли Холдсуорт;None;Ford Mustang GT;2;1'46.1500;0.4719;0.0190;179.847
6;2;Ник Перкат;None;Holden Commodore ZB;2;1'46.2991;0.6210;0.1491;179.595
7;6;Кэмерон Уотерс;None;Ford Mustang GT;2;1'46.3145;0.6364;0.0154;179.569
8;96;Маколи Джонс;None;Holden Commodore ZB;2;1'46.3790;0.7009;0.0645;179.460
9;55;Томас Рэндл;None;Ford Mustang GT;2;1'46.3884;0.7103;0.0094;179.444
10;5;Джеймс Кортни;None;Ford Mustang GT;2;1'46.5233;0.8452;0.1349;179.217
11;18;Марк Винтерботтом;None;Holden Commodore ZB;2;1'46.5553;0.8772;0.0320;179.163
12;3;Тим Слейд;None;Ford Mustang GT;2;1'46.6186;0.9405;0.0633;179.056
13;99;Brodie Kostecki;None;Holden Commodore ZB;2;1'46.6335;0.9554;0.0149;179.031
14;35;Тодд Хазелвуд;None;Holden Commodore ZB;2;1'46.6606;0.9825;0.0271;178.986
15;76;Гарри Джекобсон;None;Holden Commodore ZB;2;1'46.6709;0.9928;0.0103;178.969
16;9;Уилл Браун;None;Holden Commodore ZB;2;1'46.6750;0.9969;0.0041;178.962
17;88;Broc Feeney;None;Holden Commodore ZB;2;1'46.7187;1.0406;0.0437;178.888
18;8;Андре Хаймгартнер;None;Holden Commodore ZB;2;1'46.7938;1.1157;0.0751;178.763
19;14;Брайс Фуллвуд;None;Holden Commodore ZB;2;1'46.8297;1.1516;0.0359;178.703
20;4;Джек Смит;None;Holden Commodore ZB;2;1'47.0125;1.3344;0.1828;178.397
21;22;Крис Питер;None;Holden Commodore ZB;2;1'47.0849;1.4068;0.0724;178.277
22;34;Джек ЛеБрок;None;Holden Commodore ZB;2;1'47.6363;1.9582;0.5514;177.363
23;20;Скотт Пай;None;Holden Commodore ZB;2;1'57.9358;12.2577;10.2995;161.874
24;97;Шейн ван Гисберген;None;Holden Commodore ZB;2;None;None;None;None
25;56;Джейк Костеки;None;Ford Mustang GT;2;None;None;None;None
