Позиция;None;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;Сход;Очки
1;None;97;Шейн ван Гисберген;None;Holden Commodore ZB;20;36'51.5320;None;None;None;75
2;None;17;Уилл Дэвисон;None;Ford Mustang GT;20;36'57.1793;5.6473;5.6473;None;69
3;None;26;Дэвид Рейнольдс;None;Ford Mustang GT;20;36'58.0686;6.5366;0.8893;None;64
4;None;11;Антон де Паскуале;None;Ford Mustang GT;20;37'02.1992;10.6672;4.1306;None;60
5;None;25;Час Мостер;None;Holden Commodore ZB;20;37'04.8036;13.2716;2.6044;None;55
6;None;88;Broc Feeney;None;Holden Commodore ZB;20;37'05.0814;13.5494;0.2778;None;51
7;None;3;Тим Слейд;None;Ford Mustang GT;20;37'07.3845;15.8525;2.3031;None;48
8;None;6;Кэмерон Уотерс;None;Ford Mustang GT;20;37'12.7791;21.2471;5.3946;None;45
9;None;5;Джеймс Кортни;None;Ford Mustang GT;20;37'14.6386;23.1066;1.8595;None;42
10;None;76;Гарри Джекобсон;None;Holden Commodore ZB;20;37'15.8917;24.3597;1.2531;None;39
11;None;55;Томас Рэндл;None;Ford Mustang GT;20;37'16.8546;25.3226;0.9629;None;36
12;None;34;Джек ЛеБрок;None;Holden Commodore ZB;20;37'18.6902;27.1582;1.8356;None;34
13;None;10;Ли Холдсуорт;None;Ford Mustang GT;20;37'18.7159;27.1839;0.0257;None;33
14;None;35;Тодд Хазелвуд;None;Holden Commodore ZB;20;37'20.8724;29.3404;2.1565;None;31
15;None;99;Brodie Kostecki;None;Holden Commodore ZB;20;37'22.5765;31.0445;1.7041;None;30
16;None;2;Ник Перкат;None;Holden Commodore ZB;20;37'23.1059;31.5739;0.5294;None;28
17;None;18;Марк Винтерботтом;None;Holden Commodore ZB;20;37'24.9232;33.3912;1.8173;None;27
18;None;8;Андре Хаймгартнер;None;Holden Commodore ZB;20;37'26.3530;34.8210;1.4298;None;25
19;None;22;Крис Питер;None;Holden Commodore ZB;20;37'28.8759;37.3439;2.5229;None;24
20;None;56;Джейк Костеки;None;Ford Mustang GT;20;37'29.2366;37.7046;0.3607;None;22
21;None;4;Джек Смит;None;Holden Commodore ZB;20;37'29.9670;38.4350;0.7304;None;21
22;None;14;Брайс Фуллвуд;None;Holden Commodore ZB;20;37'35.5073;43.9753;5.5403;None;19
23;None;96;Маколи Джонс;None;Holden Commodore ZB;20;37'37.1350;45.6030;1.6277;None;18
24;None;9;Уилл Браун;None;Holden Commodore ZB;20;38'25.5302;1'33.9982;48.3952;None;16
25;None;20;Скотт Пай;None;Holden Commodore ZB;19;37'55.9875;1 Lap;1 Lap;None;15
