Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;25;Час Мостер;None;Holden Commodore ZB;20;39'09.2815;None;None;None
2;17;Уилл Дэвисон;None;Ford Mustang GT;20;39'14.4983;5.2168;5.2168;None
3;11;Антон де Паскуале;None;Ford Mustang GT;20;39'16.1606;6.8791;1.6623;None
4;3;Тим Слейд;None;Ford Mustang GT;20;39'17.4110;8.1295;1.2504;None
5;99;Brodie Kostecki;None;Holden Commodore ZB;20;39'18.0684;8.7869;0.6574;None
6;2;Ник Перкат;None;Holden Commodore ZB;20;39'18.9812;9.6997;0.9128;None
7;6;Кэмерон Уотерс;None;Ford Mustang GT;20;39'21.8906;12.6091;2.9094;None
8;9;Уилл Браун;None;Holden Commodore ZB;20;39'21.9573;12.6758;0.0667;None
9;18;Марк Винтерботтом;None;Holden Commodore ZB;20;39'23.2096;13.9281;1.2523;None
10;10;Ли Холдсуорт;None;Ford Mustang GT;20;39'24.9488;15.6673;1.7392;None
11;20;Скотт Пай;None;Holden Commodore ZB;20;39'25.3171;16.0356;0.3683;None
12;88;Broc Feeney;None;Holden Commodore ZB;20;39'27.2454;17.9639;1.9283;None
13;56;Джейк Костеки;None;Ford Mustang GT;20;39'28.7894;19.5079;1.5440;None
14;35;Тодд Хазелвуд;None;Holden Commodore ZB;20;39'30.1608;20.8793;1.3714;None
15;76;Гарри Джекобсон;None;Holden Commodore ZB;20;39'31.1340;21.8525;0.9732;None
16;34;Джек ЛеБрок;None;Holden Commodore ZB;20;39'31.9018;22.6203;0.7678;None
17;8;Андре Хаймгартнер;None;Holden Commodore ZB;20;39'31.9600;22.6785;0.0582;None
18;96;Маколи Джонс;None;Holden Commodore ZB;20;39'40.9310;31.6495;8.9710;None
19;14;Брайс Фуллвуд;None;Holden Commodore ZB;20;39'42.0878;32.8063;1.1568;None
20;97;Шейн ван Гисберген;None;Holden Commodore ZB;20;40'04.1399;54.8584;22.0521;None
21;22;Крис Питер;None;Holden Commodore ZB;20;40'15.3541;1'06.0726;11.2142;None
22;5;Джеймс Кортни;None;Ford Mustang GT;20;40'50.0293;1'40.7478;34.6752;None
None;55;Томас Рэндл;None;Ford Mustang GT;11;24'41.8977;9 Laps;9 Laps;None
None;26;Дэвид Рейнольдс;None;Ford Mustang GT;6;13'56.3744;14 Laps;5 Laps;None
None;4;Джек Смит;None;Holden Commodore ZB;0;None;None;None;None
