Позиция;#;Гонщик;None;Машина;Время;км/ч
1;6;Кэмерон Уотерс Джеймс Моффат;None;Ford Mustang GT;2'23.6168;155.739
2;10;Ли Холдсуорт Matthew Payne;None;Ford Mustang GT;2'23.8296;155.509
3;25;Час Мостер Фабиан Култхард;None;Holden Commodore ZB;2'23.8360;155.502
4;51;Ричи Стэнэвей Грег Мерфи;None;Holden Commodore ZB;2'24.3527;154.945
5;17;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;2'24.4223;154.870
6;2;Ник Перкат Уоррен Лафф;None;Holden Commodore ZB;2'24.5634;154.719
7;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;2'24.0664;155.253
8;5;Джеймс Кортни Зейн Годдард;None;Ford Mustang GT;2'24.6455;154.631
9;99;Brodie Kostecki Дэвид Расселл;None;Holden Commodore ZB;2'24.7897;154.477
10;9;Уилл Браун Джек Перкинс;None;Holden Commodore ZB;2'25.0004;154.253
11;100;Антон де Паскуале Тони Д'Альберто;None;Ford Mustang GT;2'25.0081;154.245
12;8;Андре Хаймгартнер Дейл Вуд;None;Holden Commodore ZB;2'25.0130;154.239
13;31;Джеймс Голдинг Dylan O'Keeffe;None;Holden Commodore ZB;2'25.0149;154.237
14;88;Broc Feeney Джейми Уинкап;None;Holden Commodore ZB;2'25.1273;154.118
15;55;Томас Рэндл Zak Best;None;Ford Mustang GT;2'25.1521;154.092
16;888;Крэг Лаундес Declan Fraser;None;Holden Commodore ZB;2'25.3523;153.879
17;56;Джейк Костеки Курт Костеки;None;Ford Mustang GT;2'25.4653;153.760
18;26;Дэвид Рейнольдс Мэтт Кэмпбелл;None;Ford Mustang GT;2'25.4723;153.752
19;35;Тодд Хазелвуд Jayden Ojeda;None;Holden Commodore ZB;2'26.0742;153.119
20;20;Скотт Пай Tyler Everingham;None;Holden Commodore ZB;2'26.0764;153.117
21;22;Крис Питер Cameron Hill;None;Holden Commodore ZB;2'26.4081;152.770
22;96;Маколи Джонс Jordan Boys;None;Holden Commodore ZB;2'26.6575;152.510
23;18;Марк Винтерботтом Майкл Карузо;None;Holden Commodore ZB;2'27.0161;152.138
24;14;Брайс Фуллвуд Дин Фьоре;None;Holden Commodore ZB;2'27.1369;152.013
25;34;Джек ЛеБрок Аарон Сетон;None;Holden Commodore ZB;2'27.5240;151.614
26;118;Мэтт Чагда Jaylyn Robotham;None;Holden Commodore ZB;2'28.2436;150.878
27;4;Джек Смит Джексон Эванс;None;Holden Commodore ZB;2'28.3813;150.738
28;3;Тим Слейд Тим Бланкард;None;Ford Mustang GT;2'31.3185;147.812
