Позиция;#;Гонщик;None;Машина;Круги;Время;Отрыв;Отставание;км/ч
1;17;Уилл Дэвисон Алекс Дэвисон;None;Ford Mustang GT;7;2'22.4594;None;None;157.004
2;10;Ли Холдсуорт Matthew Payne;None;Ford Mustang GT;7;2'23.1357;0.6763;0.6763;156.262
3;31;Джеймс Голдинг Dylan O'Keeffe;None;Holden Commodore ZB;6;2'23.1853;0.7259;0.0496;156.208
4;5;Джеймс Кортни Зейн Годдард;None;Ford Mustang GT;7;2'23.5409;1.0815;0.3556;155.821
5;97;Шейн ван Гисберген Гарт Тандер;None;Holden Commodore ZB;7;2'23.5654;1.1060;0.0245;155.795
6;9;Уилл Браун Джек Перкинс;None;Holden Commodore ZB;7;2'23.7380;1.2786;0.1726;155.608
7;888;Крэг Лаундес Declan Fraser;None;Holden Commodore ZB;7;2'23.7751;1.3157;0.0371;155.567
8;6;Кэмерон Уотерс Джеймс Моффат;None;Ford Mustang GT;7;2'24.2124;1.7530;0.4373;155.096
9;14;Брайс Фуллвуд Дин Фьоре;None;Holden Commodore ZB;7;2'24.2506;1.7912;0.0382;155.055
10;25;Час Мостер Фабиан Култхард;None;Holden Commodore ZB;7;2'24.3887;1.9293;0.1381;154.906
11;88;Broc Feeney Джейми Уинкап;None;Holden Commodore ZB;7;2'24.4559;1.9965;0.0672;154.834
12;26;Дэвид Рейнольдс Мэтт Кэмпбелл;None;Ford Mustang GT;7;2'24.4890;2.0296;0.0331;154.799
13;55;Томас Рэндл Zak Best;None;Ford Mustang GT;7;2'24.7500;2.2906;0.2610;154.520
14;99;Brodie Kostecki Дэвид Расселл;None;Holden Commodore ZB;7;2'24.7735;2.3141;0.0235;154.495
15;96;Маколи Джонс Jordan Boys;None;Holden Commodore ZB;7;2'24.8669;2.4075;0.0934;154.395
16;35;Тодд Хазелвуд Jayden Ojeda;None;Holden Commodore ZB;6;2'24.9309;2.4715;0.0640;154.327
17;8;Андре Хаймгартнер Дейл Вуд;None;Holden Commodore ZB;7;2'25.1494;2.6900;0.2185;154.095
18;4;Джек Смит Джексон Эванс;None;Holden Commodore ZB;7;2'25.4264;2.9670;0.2770;153.801
19;20;Скотт Пай Tyler Everingham;None;Holden Commodore ZB;6;2'25.4296;2.9702;0.0032;153.798
20;2;Ник Перкат Уоррен Лафф;None;Holden Commodore ZB;7;2'25.5186;3.0592;0.0890;153.704
21;100;Антон де Паскуале Тони Д'Альберто;None;Ford Mustang GT;7;2'25.5520;3.0926;0.0334;153.668
22;22;Крис Питер Cameron Hill;None;Holden Commodore ZB;6;2'25.6680;3.2086;0.1160;153.546
23;3;Тим Слейд Тим Бланкард;None;Ford Mustang GT;7;2'25.8115;3.3521;0.1435;153.395
24;118;Мэтт Чагда Jaylyn Robotham;None;Holden Commodore ZB;7;2'26.2724;3.8130;0.4609;152.911
25;51;Ричи Стэнэвей Грег Мерфи;None;Holden Commodore ZB;6;2'27.3136;4.8542;1.0412;151.831
26;18;Марк Винтерботтом Майкл Карузо;None;Holden Commodore ZB;6;2'27.7337;5.2743;0.4201;151.399
27;34;Джек ЛеБрок Аарон Сетон;None;Holden Commodore ZB;6;2'28.5173;6.0579;0.7836;150.600
28;56;Джейк Костеки Курт Костеки;None;Ford Mustang GT;3;None;None;None;None
